"Artist name","Song name","Song length"
Lizzo,"About Damn Time",191822
"Tom Odell","Another Love",244360
Russ,"Are You Entertained (feat. Ed Sheeran)",156083
"Harry Styles","As It Was",167303
"Camila Cabello","Bam Bam (feat. Ed Sheeran)",206070
"The Weeknd","Blinding Lights",200040
Beyoncé,"BREAK MY SOUL",278281
"Elton John","Cold Heart - PNAU Remix",202735
Beyoncé,COZY,210372
"Ruth B.",Dandelions,233720
"Rauw Alejandro",Desesperados,224996
"Bad Bunny","Después de la Playa",230400
"Central Cee",Doja,97392
"Bad Bunny",Efecto,213061
"Imagine Dragons","Enemy (with JID) - from the series Arcane League of Legends",173381
"Jack Harlow","First Class",173947
"Justin Bieber",Ghost,153190
Joji,"Glimpse of Us",233456
"Glass Animals","Heat Waves",238805
OneRepublic,"I Ain't Worried",148485
"Post Malone","I Like You (A Happier Song) (with Doja Cat)",192840
Beyoncé,"I'M THAT GIRL",208014
"Lil Nas X","INDUSTRY BABY (feat. Jack Harlow)",212352
Drake,"Jimmy Cooks (feat. 21 Savage)",218364
"Manuel Turizo","La Bachata",162637
"Bad Bunny","La Corriente",198367
"Harry Styles","Late Night Talking",177954
"Charlie Puth","Left and Right (Feat. Jung Kook of BTS)",154486
"Brent Faiyaz","LOOSE CHANGE",226011
"Becky G",MAMIII,226093
Drake,Massive,336924
Metallica,"Master Of Puppets",515386
"Bad Bunny","Me Porto Bonito",178567
"Elley Duhé","MIDDLE OF THE NIGHT",184447
j-hope,MORE,180022
"Bad Bunny","Moscow Mule",245939
Feid,Normal,171986
"Bad Bunny","Ojitos Lindos",258298
"Calvin Harris","One Kiss (with Dua Lipa)",214846
"Bad Bunny",Party,227628
"KAROL G",PROVENZA,210200
Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52",198937
"Kate Bush","Running Up That Hill (A Deal With God)",298933
"Ed Sheeran",Shivers,207853
"The Kid LAROI","STAY (with Justin Bieber)",141805
"Nicky Youre",Sunroof,163025
"The Neighbourhood","Sweater Weather",240400
"Bad Bunny",Tarot,237894
Shakira,"Te Felicito",172235
Beyoncé,THIQUE,244792
"Bad Bunny","Tití Me Preguntó",243716
"Billie Eilish",TV,281380
"Polimá Westcoast","ULTRA SOLO REMIX",322347
"Bad Bunny","Un Ratito",176936
"Cris Mj","Una Noche en Medellín",153750
"Stephen Sanchez","Until I Found You",177720
"Doja Cat","Vegas (From the Original Motion Picture Soundtrack ELVIS)",182906
Beyoncé,"VIRGO'S GROOVE",368758
Future,"WAIT FOR U (feat. Drake & Tems)",189893
"Lost Frequencies","Where Are You Now",148197
"Doja Cat",Woman,172626
BTS,"Yet To Come",193593
